german,english,cognate
allein,alone,true
apfel,apple,true
blau,blue,true
buch,book,true
denken,think,true
eis,ice,true
ellbogen,elbow,true
finger,finger,true
gast,guest,true
gehen,go,true
glas,glass,true
gruen,green,true
haar,hair,true
heilig,holy,true
herz,heart,true
juwel,jewel,true
knie,knee,true
kuh,cow,true
lernen,learn,true
milch,milk,true
mutter,mother,true
mund,mouth,true
nackt,naked,true
nase,nose,true
neu,new,true
nuss,nut,true
oft,often,true
preis,prize,true
sehen,see,true
schule,school,true
schulter,shoulder,true
sohn,son,true
stein,stone,true
tanzen,dance,true
trinken,drink,true
vater,father,true
wasser,water,true
neu,new,false
gut,good,false
groß,big,false
alt,old,false
hoch,high,false
klein,small,false
lang,long,false
jung,young,false
spaet,late,false
wichtig,important,false
kurz,short,false
frueh,early,false
schwer,heavy,false
richtig,right,false
schnell,fast,false
leicht,light,false
schlecht,bad,false
falsch,wrong,false
teuer,expensive,false
langsam,slow,false
niedrig,low,false
kalt,cold,false
gluecklich,happy,false
gesund,healthy,false
laut,loud,false
warm,warm,false
billig,cheap,false
krank,ill,false
leise,quiet,false
msein,be,false
werden,become,false
haben,have,false
koennen,can,false
muessen,must,false
geben,give,false
sollen,should,false
sagen,say,false
wollen,want,false
kommen,come,false
gehen,go,false
machen,do,false
stehen,stand,false
sehen,see,false
finden,find,false
bleiben,stay,false
liegen,lie,false
stellen,put,false
nehmen,take,false
duerfen,allowed,false
bringen,bring,false
halten,hold,false
spielen,play,false
heißen,called,false
wissen,know ,false
uede,tired,false
