confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,OLD_ENGLISH-1-1,{},False,,ik,176635,157949
,,,,OLD_ENGLISH-2-1,{},False,,8u,176636,157950
,,,,OLD_ENGLISH-3-1,{},False,,we,176637,157951
,,,,OLD_ENGLISH-11-1,{},False,,an,176638,157952
,,,,OLD_ENGLISH-12-1,{},False,,tw~egen,176639,157953
,,,,OLD_ENGLISH-18-1,{},False,,man,176640,157954
,,,,OLD_ENGLISH-19-1,{},False,,fisk,176641,157955
,,,,OLD_ENGLISH-21-1,{},False,,hund,176642,157956
,,,,OLD_ENGLISH-22-1,{},False,,lus,176643,157957
,,,,OLD_ENGLISH-23-1,{},False,,treow,176644,157958
,,,,OLD_ENGLISH-25-1,{},False,,leaf,176645,157959
,,,,OLD_ENGLISH-28-1,{},False,,hid,176646,157960
,,,,OLD_ENGLISH-30-1,{},False,,blod,176647,157961
,,,,OLD_ENGLISH-31-1,{},False,,ban,176648,157962
,,,,OLD_ENGLISH-34-1,{},False,,horn,176649,157963
,,,,OLD_ENGLISH-39-1,{},False,,eare,176650,157964
,,,,OLD_ENGLISH-40-1,{},False,,eage,176651,157965
,,,,OLD_ENGLISH-41-1,{},False,,nosu,176652,157966
,,,,OLD_ENGLISH-43-1,{},False,,to8,176653,157967
,,,,OLD_ENGLISH-44-1,{},False,,tuNe,176654,157968
,,,,OLD_ENGLISH-47-1,{},False,,kneow,176655,157969
,,,,OLD_ENGLISH-48-1,{},False,,hand,176656,157970
,,,,OLD_ENGLISH-51-1,{},False,,breost,176657,157971
,,,,OLD_ENGLISH-53-1,{},False,,lifer,176658,157972
,,,,OLD_ENGLISH-54-1,{},False,,driNk8,176659,157973
,,,,OLD_ENGLISH-57-1,{},False,,sie8,176660,157974
,,,,OLD_ENGLISH-58-1,{},False,,hier8,176661,157975
,,,,OLD_ENGLISH-61-1,{},False,,stierf8,176662,157976
,,,,OLD_ENGLISH-66-1,{},False,,kim8,176663,157977
,,,,OLD_ENGLISH-72-1,{},False,,sune,176664,157978
,,,,OLD_ENGLISH-74-1,{},False,,steora,176665,157979
,,,,OLD_ENGLISH-75-1,{},False,,wEter,176666,157980
,,,,OLD_ENGLISH-77-1,{},False,,stan,176667,157981
,,,,OLD_ENGLISH-82-1,{},False,,fir,176668,157982
,,,,OLD_ENGLISH-85-1,{},False,,weg,176669,157983
,,,,OLD_ENGLISH-85-2,{},False,,strEt,176670,157983
,,,,OLD_ENGLISH-86-1,{},False,,beorg,176671,157984
,,,,OLD_ENGLISH-92-1,{},False,,nit,176672,157985
,,,,OLD_ENGLISH-95-1,{},False,,ful,176673,157986
,,,,OLD_ENGLISH-96-1,{},False,,niowe,176674,157987
,,,,OLD_ENGLISH-100-1,{},False,,nama,176675,157988
